callsign,latitude,longitude
NA3M-2,39.188,-77.208
ND7K,34.062,-112.792
NG7M,41.062,-112.042
NH6HI,21.938,-159.542
NN3RP,38.938,-77.042
NT6Q,33.104,-117.042
NU4F,26.146,-80.125
NU4F-2,26.271,-80.125
NX5M,30.396,-96.625
OE3KLU,48.146,16.458
OE6ADD,47.021,15.292
OE9GHV,47.438,9.875
OH0K/6,63.229,21.542
OH2BBT,60.229,24.625
OH4KA,61.562,27.875
OH6BG,63.021,21.375
OH8KA,65.104,25.375
OK1FCJ,50.021,14.542
OK1HRA,50.021,13.875
OK2ZAW,49.562,15.958
ON6ZQ,50.688,4.375
OZ1AAB,55.771,12.208
OZ1BZS,56.188,8.958
OZ4ADX,55.104,14.708
PA2SQ,52.729,5.625
PA5KT-4,51.479,3.875
PA8MM,52.479,4.958
PC2A,51.979,4.125
PC2A-2,51.896,4.375
PC2A-3,51.896,4.375
PD2RPS,52.938,5.792
PE5TT,51.896,5.625
PI4CC,51.979,4.125
PY2KNK,-23.688,-48.875
PY2PE,-23.396,-46.708
R3VL,56.396,38.708
R4NCU,58.354,49.792
RK3TD,56.938,43.375
RK3TD-2,56.354,44.208
RL3A,55.729,34.875
RN4WA,56.854,53.292
RT4F,53.479,43.792
RT4G,53.688,45.208
RU4FM,53.479,43.792
RU9CZD,57.146,61.208
RZ3QS,51.771,39.542
S50ARX,45.938,13.625
S50U,46.146,13.958
S53A,45.812,14.458
S53F,45.562,15.208
S53M-11,46.729,16.208
S54L,45.896,14.458
S57C,45.938,15.375
S58W,45.521,13.708
SE5E,59.938,16.958
SM0TCZ,59.229,17.958
SM1HEV,57.521,18.125
SM7IUN,55.729,13.042
SP5GQ,52.438,20.958
SP8R,50.021,22.042
SQ5J,52.229,20.875
SV1CDN,37.979,23.625
SV8RV,37.771,20.875
SZ1A,38.729,21.375
TA9J,40.562,43.042
TF3Y,64.146,-21.875
TI7W,10.729,-85.042
TM8O,50.188,2.625
UA4M,54.354,49.875
UD4FD,53.479,43.792
UR4QRH,47.854,35.208
UT4QM,47.854,35.208
UT5R,51.521,30.708
UT5R-1,51.521,30.708
UY2RA,51.521,30.708
V51YJ,-22.604,17.125
VE3DXU,43.812,-79.375
VE3EID,45.438,-79.458
VE6JY,53.729,-112.792
VE6WZ,51.812,-114.458
VE6WZ-1,51.812,-114.458
VE6WZ-2,51.812,-114.458
VE6WZ-3,51.812,-114.458
VE7CC,49.188,-122.542
VK2GEL,-34.604,150.625
VK2RH,-33.896,151.208
VK3RASA,-38.104,145.875
VK3VB,-38.062,145.292
VK4CT,-27.271,152.958
VK4EMM,-27.271,152.958
VK6ANC,-31.812,115.875
VR2FUN-77,22.479,112.958
VU2CPL,13.188,77.625
VU2OY,8.562,76.875
VU2TUM,28.396,76.958
W1NT-2,42.854,-71.042
W1NT-6,42.854,-71.042
W2AXR,43.271,-78.875
W2LB,42.938,-77.375
W2MV,41.021,-73.875
W2NAF,41.354,-75.625
W2NNN,40.688,-74.542
W3DAN,41.229,-81.625
W3LPL,39.271,-77.042
W3OA,35.562,-80.958
W3OA-1,35.562,-80.958
W3RGA,40.896,-76.708
W3RGA-1,40.854,-76.792
W3UA,42.896,-71.458
W4AX,34.104,-84.375
W4KAZ,35.771,-78.792
W5ZN,35.312,-91.708
W6DVN,34.021,-118.375
W6YX,37.396,-122.208
W8NJH,41.688,-83.625
W8WTS,41.396,-81.208
W8WWV,41.521,-81.375
W9SN,36.479,-85.042
WA7LNW,37.146,-113.458
WB6BEE,37.812,-77.708
WC2L,42.771,-73.875
WC8GOP,42.771,-84.708
WE9V,42.562,-88.042
WS2C,39.729,-75.125
WS3W,39.271,-76.875
WT0O,45.438,-93.792
WT9U,41.604,-85.958
WV4P,35.146,-88.208
WW1L,44.521,-68.792
WX7V/5,32.854,-96.792
WZ7I,40.438,-75.125
YO2CK,45.604,22.958
YO2KAR,45.896,22.875
YO5LD,45.729,21.125
YU1EW,44.646,20.208
ZF9CW,19.729,-79.792
ZL3X,-43.271,172.708
ZL4YL,-39.771,176.958
ZS1NN,-33.396,18.875

